"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
273,"I Want Your Money","10/15/2010","Freestyle Releasing","Documentary","PG",433588,54954,433587
274,"Somewhere","12/22/2010","Focus Features","Drama","R",432836,54859,432838
275,"Law Abiding Citizen","10/16/2009","Overture Films","Thriller/Suspense","R",428914,54362,428916
276,"Break Ke Baad","11/24/2010","Reliance Big","Drama","?",427628,54199,427630
277,"The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","1/29/2010","First Run Features","Documentary","?",416775,52823,416773
278,"Les amours imaginaires","6/11/2010","IFC Films","Drama","?",413432,52399,413428
279,"Disney's A Christmas Carol","11/6/2009","Walt Disney Pictures","Drama","PG",411946,52211,411945
280,"Action Replayy","11/5/2010","Viva Entertainment","Drama","?",410262,51998,410264
281,"The Men Who Stare at Goats","11/6/2009","Overture Films","Black Comedy","R",409764,51935,409767
282,"I'm Still Here","9/10/2010","Magnolia Pictures","Documentary","R",408983,51836,408986
283,"The Square","4/9/2010","Apparition","Thriller/Suspense","R",406216,51485,406217
284,"Wild Grass","6/25/2010","Sony Pictures Classics","Thriller/Suspense","PG",403952,51198,403952
285,"Farewell","1/29/2010","NeoClassics Films","Thriller/Suspense","?",390157,49450,390161
286,"Fish Tank","1/15/2010","?","?","?",374675,47487,374672
287,"Lebanon","8/6/2010","Sony Pictures Classics","Drama","R",368088,46652,368084
288,"Grease","6/16/1978","Paramount Pictures","Musical","PG",365802,46363,365804
289,"Like Dandelion Dust","9/24/2010","Self Distributed","?","PG-13",352810,44716,352809
290,"Arthur and the War of Two Worlds","12/31/2010","?","Adventure","PG",347136,43997,347136
291,"Creation","1/22/2010","Newmarket Films","Drama","PG-13",341323,43260,341321
292,"Enter the Void","9/24/2010","IFC Films","Drama","?",337997,42839,338000
293,"All Good Things","12/3/2010","Magnolia Pictures","Drama","R",323651,41020,323648
294,"A Film Unfinished","8/18/2010","Oscilloscope Pictures","?","R",320486,40619,320484
295,"Vision","10/13/2010","Zeitgeist","Drama","?",319683,40517,319679
